"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 11 13:08:22 GMT 2025","Tue Mar 11 13:08:24 GMT 2025","1392","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-02",""
"passed","Tue Mar 11 13:08:44 GMT 2025","Tue Mar 11 13:08:45 GMT 2025","694","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Age",""
"passed","Tue Mar 11 13:08:38 GMT 2025","Tue Mar 11 13:08:38 GMT 2025","264","chromium","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Search tab should be available",""
"passed","Tue Mar 11 13:07:43 GMT 2025","Tue Mar 11 13:07:45 GMT 2025","1616","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-03",""
"passed","Tue Mar 11 13:08:29 GMT 2025","Tue Mar 11 13:08:30 GMT 2025","1411","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-05",""
"passed","Tue Mar 11 13:08:24 GMT 2025","Tue Mar 11 13:08:24 GMT 2025","895","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-03",""
"passed","Tue Mar 11 13:08:09 GMT 2025","Tue Mar 11 13:08:09 GMT 2025","885","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique Age","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Tue Mar 11 13:08:09 GMT 2025","Tue Mar 11 13:08:11 GMT 2025","1245","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique Age",""
"passed","Tue Mar 11 13:08:14 GMT 2025","Tue Mar 11 13:08:15 GMT 2025","1152","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Last Name",""
"passed","Tue Mar 11 13:07:38 GMT 2025","Tue Mar 11 13:07:40 GMT 2025","2057","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-01",""
"passed","Tue Mar 11 13:07:45 GMT 2025","Tue Mar 11 13:07:47 GMT 2025","1831","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-03",""
"passed","Tue Mar 11 13:08:16 GMT 2025","Tue Mar 11 13:08:17 GMT 2025","1052","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Age",""
"passed","Tue Mar 11 13:08:00 GMT 2025","Tue Mar 11 13:08:01 GMT 2025","726","firefox","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 2: Verify Add tab functionality",""
"passed","Tue Mar 11 13:08:18 GMT 2025","Tue Mar 11 13:08:20 GMT 2025","1231","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-01",""
"passed","Tue Mar 11 13:08:20 GMT 2025","Tue Mar 11 13:08:21 GMT 2025","1381","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-01",""
"passed","Tue Mar 11 13:08:40 GMT 2025","Tue Mar 11 13:08:40 GMT 2025","609","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique Last Name",""
"passed","Tue Mar 11 13:08:37 GMT 2025","Tue Mar 11 13:08:37 GMT 2025","312","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 4: Verify /search URL change to Search",""
"passed","Tue Mar 11 13:07:48 GMT 2025","Tue Mar 11 13:07:50 GMT 2025","2023","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-04",""
"passed","Tue Mar 11 13:08:06 GMT 2025","Tue Mar 11 13:08:07 GMT 2025","1007","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique First Name",""
"passed","Tue Mar 11 13:08:12 GMT 2025","Tue Mar 11 13:08:13 GMT 2025","1035","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique First Name",""
"passed","Tue Mar 11 13:08:39 GMT 2025","Tue Mar 11 13:08:40 GMT 2025","555","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique Last Name","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Tue Mar 11 13:08:35 GMT 2025","Tue Mar 11 13:08:36 GMT 2025","471","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 2: Verify Add tab functionality",""
"passed","Tue Mar 11 13:07:55 GMT 2025","Tue Mar 11 13:07:57 GMT 2025","1805","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-06",""
"passed","Tue Mar 11 13:08:36 GMT 2025","Tue Mar 11 13:08:37 GMT 2025","405","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 2: Verify Search tab functionality",""
"passed","Tue Mar 11 13:08:24 GMT 2025","Tue Mar 11 13:08:26 GMT 2025","1365","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-03",""
"passed","Tue Mar 11 13:08:08 GMT 2025","Tue Mar 11 13:08:09 GMT 2025","905","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique Last Name",""
"passed","Tue Mar 11 13:08:33 GMT 2025","Tue Mar 11 13:08:34 GMT 2025","913","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-07",""
"passed","Tue Mar 11 13:08:42 GMT 2025","Tue Mar 11 13:08:43 GMT 2025","679","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique First Name",""
"passed","Tue Mar 11 13:08:01 GMT 2025","Tue Mar 11 13:08:02 GMT 2025","615","firefox","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 5: Verify Add Tab Persistence on Page Refresh",""
"passed","Tue Mar 11 13:08:02 GMT 2025","Tue Mar 11 13:08:03 GMT 2025","789","firefox","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 2: Verify Search tab functionality",""
"passed","Tue Mar 11 13:07:58 GMT 2025","Tue Mar 11 13:08:00 GMT 2025","1838","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-07",""
"passed","Tue Mar 11 13:07:50 GMT 2025","Tue Mar 11 13:07:52 GMT 2025","1362","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-05",""
"passed","Tue Mar 11 13:08:11 GMT 2025","Tue Mar 11 13:08:12 GMT 2025","1079","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique First Name","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Tue Mar 11 13:08:07 GMT 2025","Tue Mar 11 13:08:08 GMT 2025","1008","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Unique Last Name","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Tue Mar 11 13:08:28 GMT 2025","Tue Mar 11 13:08:29 GMT 2025","917","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-05",""
"passed","Tue Mar 11 13:08:30 GMT 2025","Tue Mar 11 13:08:31 GMT 2025","911","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-06",""
"passed","Tue Mar 11 13:07:47 GMT 2025","Tue Mar 11 13:07:48 GMT 2025","1407","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-04",""
"passed","Tue Mar 11 13:07:57 GMT 2025","Tue Mar 11 13:07:58 GMT 2025","1564","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-07",""
"passed","Tue Mar 11 13:08:38 GMT 2025","Tue Mar 11 13:08:39 GMT 2025","632","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Unique First Name",""
"passed","Tue Mar 11 13:07:53 GMT 2025","Tue Mar 11 13:07:55 GMT 2025","1488","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-06",""
"passed","Tue Mar 11 13:07:52 GMT 2025","Tue Mar 11 13:07:53 GMT 2025","1857","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-05",""
"passed","Tue Mar 11 13:08:44 GMT 2025","Tue Mar 11 13:08:44 GMT 2025","529","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Age","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Tue Mar 11 13:08:37 GMT 2025","Tue Mar 11 13:08:38 GMT 2025","246","chromium","navigationUi.test.ts","Navigation tab are available","","","Test Case 1: Verify Add tab should be available",""
"passed","Tue Mar 11 13:07:34 GMT 2025","Tue Mar 11 13:07:37 GMT 2025","2832","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-01",""
"passed","Tue Mar 11 13:08:15 GMT 2025","Tue Mar 11 13:08:16 GMT 2025","1491","firefox","search.func.test.ts","Should Search Users By Search Criteria","","","Search User POM: Non-Unique Age","This test verifies that the ""Search"" tab is accessible, allows user input, enables the search button upon valid input, and correctly displays the searched user’s details in the results table."
"passed","Tue Mar 11 13:08:03 GMT 2025","Tue Mar 11 13:08:04 GMT 2025","536","firefox","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 5: Verify Search Tab Persistence on Page Refresh",""
"passed","Tue Mar 11 13:08:43 GMT 2025","Tue Mar 11 13:08:44 GMT 2025","725","chromium","search.func.test.ts","Should Search Users By Search Criteria","","","Search User by searchCriteria: Non-Unique Last Name",""
"passed","Tue Mar 11 13:08:34 GMT 2025","Tue Mar 11 13:08:35 GMT 2025","1405","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-07",""
"passed","Tue Mar 11 13:08:26 GMT 2025","Tue Mar 11 13:08:27 GMT 2025","910","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-04",""
"passed","Tue Mar 11 13:07:40 GMT 2025","Tue Mar 11 13:07:41 GMT 2025","1520","firefox","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-editUserFun-02",""
"passed","Tue Mar 11 13:08:37 GMT 2025","Tue Mar 11 13:08:37 GMT 2025","364","chromium","navigationFun.test.ts","Navigation tabs functionality","","","Test Case 5: Verify Search Tab Persistence on Page Refresh",""
"passed","Tue Mar 11 13:08:31 GMT 2025","Tue Mar 11 13:08:33 GMT 2025","1383","chromium","editDeleteUserFunc.test.ts","Edit and Delete users functionality","","","TC-deleteUserFun-06",""
